中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.154.207.203,443,2a09:bac1:3f00:90::22:13c,KR,Seoul,隧道,223 ms,77 Mbps,9923 kB/s,9923.0
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,27 ms,75 Mbps,9677 kB/s,9677.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,232 ms,74 Mbps,9538 kB/s,9538.0
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,249 ms,70 Mbps,8997 kB/s,8997.0
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,263 ms,69 Mbps,8882 kB/s,8882.0
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,240 ms,66 Mbps,8508 kB/s,8508.0
8.222.155.241,443,8.219.96.61,SG,Singapore,隧道,262 ms,66 Mbps,8491 kB/s,8491.0
8.219.203.249,443,47.236.58.234,SG,Singapore,隧道,281 ms,63 Mbps,8136 kB/s,8136.0
8.219.191.32,443,8.222.220.238,SG,Singapore,隧道,256 ms,62 Mbps,7991 kB/s,7991.0
8.219.112.221,443,8.222.236.107,SG,Singapore,隧道,279 ms,61 Mbps,7926 kB/s,7926.0
8.222.162.7,443,47.245.84.175,SG,Singapore,隧道,280 ms,61 Mbps,7877 kB/s,7877.0
8.222.130.116,443,47.236.1.53,SG,Singapore,隧道,270 ms,60 Mbps,7789 kB/s,7789.0
8.219.204.245,443,8.219.96.61,SG,Singapore,隧道,271 ms,60 Mbps,7766 kB/s,7766.0
8.219.173.248,443,8.219.142.198,SG,Singapore,隧道,262 ms,60 Mbps,7728 kB/s,7728.0
8.219.239.22,443,8.219.96.61,SG,Singapore,隧道,261 ms,59 Mbps,7666 kB/s,7666.0
138.3.210.24,443,2603:c021:800d:a344:0:1::,JP,Tokyo,隧道,245 ms,58 Mbps,7469 kB/s,7469.0
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,222 ms,57 Mbps,7391 kB/s,7391.0
8.219.89.204,443,47.236.1.53,SG,Singapore,隧道,259 ms,56 Mbps,7272 kB/s,7272.0
150.230.221.148,443,150.230.221.148,JP,Tokyo,中转,237 ms,55 Mbps,7123 kB/s,7123.0
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,52 ms,54 Mbps,7004 kB/s,7004.0
8.219.241.94,443,8.222.220.238,SG,Singapore,隧道,242 ms,54 Mbps,6938 kB/s,6938.0
8.219.218.228,443,8.222.222.65,SG,Singapore,隧道,267 ms,53 Mbps,6886 kB/s,6886.0
129.146.7.98,443,2a09:bac5:60ea:183c::26a:d,US,Los Angeles,隧道,77 ms,53 Mbps,6847 kB/s,6847.0
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,28 ms,52 Mbps,6768 kB/s,6768.0
47.253.152.99,443,47.253.152.99,US,Ashburn,中转,22 ms,52 Mbps,6657 kB/s,6657.0
8.219.120.215,443,47.245.125.52,SG,Singapore,隧道,269 ms,51 Mbps,6649 kB/s,6649.0
8.219.89.172,443,8.222.222.65,SG,Singapore,隧道,264 ms,51 Mbps,6640 kB/s,6640.0
8.219.52.156,443,8.219.96.61,SG,Singapore,隧道,260 ms,51 Mbps,6590 kB/s,6590.0
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,139 ms,49 Mbps,6296 kB/s,6296.0
